description;name;snaptoroads;geojson
;VPM4121;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.41603,-34.62739],[-58.42231,-34.62834],[-58.42307,-34.62844],[-58.42489,-34.62862],[-58.4263,-34.62878]]]}"
;VPM4122;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.42631,-34.62896],[-58.42203,-34.62846],[-58.41872,-34.62793],[-58.41603,-34.62756]]]}"
;VPM4131;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40166,-34.62585],[-58.40716,-34.62657],[-58.40829,-34.62667],[-58.41136,-34.6268],[-58.41592,-34.6274]]]}"
;VPM4132;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.41594,-34.62757],[-58.41183,-34.62701],[-58.4109,-34.62693],[-58.40774,-34.6268],[-58.40166,-34.62601]]]}"
;VPM4141;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40691,-34.62653],[-58.40644,-34.62642],[-58.40595,-34.62633],[-58.40499,-34.62618],[-58.40334,-34.62599],[-58.4032,-34.62596],[-58.40313,-34.62594],[-58.40307,-34.62587]]]}"
;VPM4142;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40628,-34.62666],[-58.40553,-34.62665],[-58.40402,-34.62648],[-58.40329,-34.62635],[-58.4031,-34.62633],[-58.40297,-34.62635]]]}"
;VPM4151;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38172,-34.62287],[-58.3839,-34.62284],[-58.38531,-34.62289],[-58.38612,-34.62295],[-58.39144,-34.62358],[-58.39345,-34.62392],[-58.40162,-34.62585]]]}"
;VPM4152;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40161,-34.626],[-58.39313,-34.624],[-58.39145,-34.62374]]]}"
;VPM4161;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37865,-34.6228],[-58.38045,-34.62287],[-58.3817,-34.62287]]]}"
;VPM4162;true;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37861,-34.62294],[-58.37964,-34.62297],[-58.38094,-34.623],[-58.3817,-34.62301]]]}"
